algo,n,rep,hauteur,prof_feuilles,taille_gauche,time_ms
ABR,5000,9,29,16.6915,155,0.1979
Remy,5000,10,98,51.8676,0,142.9579
ABR,5000,10,28,16.3179,1773,0.2289
Remy,5000,11,71,38.0562,0,215.9240
ABR,5000,11,28,15.6601,1852,0.3252
Remy,5000,12,75,36.0166,11,151.1989
ABR,5000,12,25,15.8020,1646,0.2060
Remy,5000,13,76,39.0580,4993,141.8080
ABR,5000,13,34,20.1150,295,0.2191
Remy,5000,14,85,38.6889,4999,130.7878
ABR,5000,14,26,15.6691,1885,0.3810
Remy,5000,15,81,36.1436,4936,139.1790
ABR,5000,15,28,16.6737,451,0.1850
Remy,5000,16,80,41.5387,4998,144.8030
ABR,5000,16,29,15.7680,1230,0.1819
Remy,5000,17,82,39.0254,0,129.5319
ABR,5000,17,30,16.3229,3467,0.2091
Remy,5000,18,69,37.8126,1,139.3259
ABR,5000,18,28,16.0882,1527,0.5059
Remy,5000,19,82,40.3219,4999,125.4849
ABR,5000,19,27,15.9892,3674,0.1700
Remy,5000,20,74,38.6413,4998,123.8980
ABR,5000,20,30,15.7656,1426,0.1800
Remy,5000,21,91,37.1804,4999,136.4892
ABR,5000,21,28,16.1882,1094,0.4749
Remy,5000,22,77,36.7914,1,142.8108
ABR,5000,22,26,15.6211,3307,0.2811
Remy,5000,23,112,48.8836,1,137.7311
ABR,5000,23,28,15.7431,4428,0.1762
Remy,5000,24,78,43.9212,4999,140.1839
ABR,5000,24,32,16.0356,1371,0.2551
Remy,5000,25,86,45.0862,4995,150.6271
ABR,5000,25,30,16.1528,780,0.6652
Remy,5000,26,81,42.3501,0,149.7922
ABR,5000,26,29,16.8450,3919,0.7601
Remy,5000,27,89,43.1660,9,141.4320
ABR,5000,27,29,16.3541,4192,0.1810
Remy,5000,28,84,39.5135,4999,141.8538
ABR,5000,28,36,16.7566,4228,0.1850
Remy,5000,29,71,39.8904,9,139.3368
ABR,5000,29,28,15.9390,2234,0.3588
Remy,5000,30,107,45.3601,4994,138.7811
ABR,5000,30,31,17.1190,2134,0.3629
Remy,5000,31,105,52.5417,4999,129.4901
ABR,5000,31,29,16.2468,4142,0.2410
Remy,5000,32,96,46.1982,1,130.4209
ABR,5000,32,27,15.9860,1633,0.1779
Remy,5000,33,85,41.3091,4,131.9840
ABR,5000,33,28,16.0680,3682,0.1979
Remy,5000,34,84,41.1202,0,136.8830
ABR,5000,34,27,16.3575,4904,0.1771
Remy,5000,35,68,37.7548,4999,135.4411
ABR,5000,35,33,18.4805,444,1.3750
Remy,5000,36,76,37.5969,6,128.8540
ABR,5000,36,29,17.3571,297,0.1690
Remy,5000,37,94,46.2755,7,125.9940
ABR,5000,37,26,15.9410,234,0.3040
Remy,5000,38,97,45.5409,4999,127.6052
ABR,5000,38,27,15.7542,557,0.1769
Remy,5000,39,78,37.7776,4829,136.5650
ABR,5000,39,30,16.0374,1301,0.1900
Remy,5000,40,87,48.0116,3,143.3370
ABR,5000,40,28,15.5725,2764,0.1769
Remy,5000,41,77,43.4931,4999,177.1562
ABR,5000,41,27,16.0018,3999,0.2308
Remy,5000,42,79,40.3953,2,261.3320
ABR,5000,42,26,15.9300,1326,0.3130
Remy,5000,43,67,31.3931,34,207.5009
ABR,5000,43,26,15.5603,566,0.2589
Remy,5000,44,75,37.7934,0,231.5609
ABR,5000,44,30,15.5447,2867,0.2980
Remy,5000,45,89,40.0906,2,281.5161
ABR,5000,45,28,15.7167,3436,0.3810
Remy,5000,46,80,43.7830,4997,271.8041
ABR,5000,46,26,15.3555,1965,0.2789
Remy,5000,47,69,34.9788,1,183.2571
ABR,5000,47,31,16.6991,403,0.2010
Remy,5000,48,95,45.6457,1,166.6071
ABR,5000,48,28,15.4805,2939,0.1988
Remy,5000,49,94,53.7337,0,157.7601
ABR,5000,49,25,15.4429,3144,0.2239
Remy,5000,50,75,31.4771,732,184.4859
ABR,5000,50,27,16.0082,2542,0.3009
